incident_month,incident_year,injury_severity,latitude,longitude,month_year,shark_behaviour_generic,shark_behaviour_specific,site_category_cleaned,state_names,victim_injury,location,provoked_unprovoked,victim_gender,victim_activity,shark_common_name,shark_scientific_name,no_sharks,reference,injury_location,data_source,shark_identification_method,shark_behaviour,victim_age
9,2020,nan,-28.164,153.5476,2020-09-01,unknown,unknown,coastal,Queensland,fatal,"greenmount beach, gold coast",unprovoked,unknown,unknown,white shark,Carcharodon carcharias ,,,unknown,unknown,unknown,unknown,
9,2020,nan,-28.33362,153.569698,2020-09-01,unknown,unknown,coastal,New South Wales,uninjured,cabarita beach ,provoked,male,boarding,white shark,Carcharodon carcharias ,1.0,DPI QUESTIONAIRE,unknown,unknown,tooth recovered,unknown,43.0
9,2020,minor_lacerations,-32.7876 ,152.08002,2020-09-01,standing_in_water_shark_banged_into_left_leg_and_latched_on_with_teeth_shark_thrashed_as_it_bit_down_reflex_pulled_leg_away_and_shark_let_go_thrashed_on_surface_and_jumped_in_the_air_,standing_in_water_shark_banged_into_left_leg_and_latched_on_with_teeth_shark_thrashed_as_it_bit_down_reflex_pulled_leg_away_and_shark_let_go_thrashed_on_surface_and_jumped_in_the_air_,coastal,New South Wales,uninjured,"birubi, port stephens",unprovoked,male,other: standing in water,whaler shark,Carcharhinidae,1.0,DPI Questionnaire,leg,unknown,Bite analysis,"Standing in water, shark banged into left leg and latched on with teeth. Shark thrashed as it bit down. Reflex pulled leg away and shark let go, thrashed on surface and jumped in the air. ",46.0
9,2020,minor_lacerations,-32.7876 ,153.08002,2020-09-01,caught_wave_and_ended_up_on_sandbank_in_90cm_water_victim_stood_up_and_was_bit_on_right_shin_twice_felt_rounded_head_jumped_on_board_and_kicked_shark_when_it_appeared_to_follow_him_shark_wasn_t_seen_again_,caught_wave_and_ended_up_on_sandbank_in_90cm_water_victim_stood_up_and_was_bit_on_right_shin_twice_felt_rounded_head_jumped_on_board_and_kicked_shark_when_it_appeared_to_follow_him_shark_wasn_t_seen_again_,coastal,New South Wales,injured,"birubi, port stephens",unprovoked,male,boarding,wobbegong,Orectolobidae,1.0,,leg,unknown,Bite analysis,Caught wave and ended up on sandbank in 90cm water. Victim stood up and was bit on right shin twice. Felt rounded head. Jumped on board and kicked shark when it appeared to follow him. Shark wasn't seen again.,
10,2020,minor_lacerations,-33.950,151.267,2020-10-01,shark_was_below_the_victim_when_it_bit_his_left_fin_as_it_rushed_vertically_past_him_it_then_leaped_1m_from_the_water_then_swam_away,shark_was_below_the_victim_when_it_bit_his_left_fin_as_it_rushed_vertically_past_him_it_then_leaped_1m_from_the_water_then_swam_away,coastal,New South Wales,injured,"magic point, maroubra",unprovoked,male,diving,white shark,Carcharodon carcharias ,1.0,DPI Questionnaire,leg,unknown,unknown,"Shark was below the victim when it bit his left fin as it rushed vertically past him, it then leaped ~1m from the water then swam away",45.0
10,2020,nan,-33.790172,151.288598,2020-10-01,victim_laying_on_board_when_shark_lunged_1_2m_in_front_of_him_with_mouth_open_shark_bit_front_of_board_victim_let_go_of_board_and_swam_to_shore_,victim_laying_on_board_when_shark_lunged_1_2m_in_front_of_him_with_mouth_open_shark_bit_front_of_board_victim_let_go_of_board_and_swam_to_shore_,coastal,New South Wales,uninjured,"queenscliff, north steyne",unprovoked,male,boarding,whaler shark,Carcharhinidae,1.0,DPI QUESTIONAIRE,unknown,unknown,"bite analysis, victim description",Victim laying on board when shark lunged 1-2m in front of him with mouth open. Shark bit front of board. Victim let go of board and swam to shore.,28.0
10,2020,major_lacerations,-18.25,146.666944,2020-10-01,unknown,unknown,island_open_ocean,Queensland,injured,"britomart reef, hinchinbrook island",provoked,male,spearfishing,bull shark,Carcharhinus leucas,1.0,https://www.theaustralian.com.au/breaking-news/spear-fisher-rick-bettua-in-critical-condition-after-shark-attack-off-north-qld-coast/news-story/4520a8fd6d812fd8f674b34bb0b0c973,leg,unknown,unknown,unknown,59.0
10,2020,nan,-34.8611,121.8919,2020-10-01,unknown,unknown,coastal,Western Australia,fatal,"kelps beds, esperance ",unprovoked,male,boarding,white shark,Carcharodon carcharias ,1.0,https://www.9news.com.au/national/wa-shark-attack-search-continues-for-esperance-surfer-andrew-sharpe/dd8a963f-b5e0-42d9-b79e-00bf52a8ffb7,unknown,unknown,unknown,unknown,
11,2020,nan,-17.9319,122.2081,2020-11-01,unknown,unknown,coastal,Western Australia,fatal,"cable beach, broome",unprovoked,male,boarding,bull shark,Carcharhinus leucas,1.0,,unknown,unknown,unknown,unknown,50.0
11,2020,nan,-13.7333,143.8667,2020-11-01,unknown,unknown,island_open_ocean,Queensland,uninjured,"magpie reef, princess charlotte bay, cape york",provoked,male,fishing,hammerhead shark ,Sphyrnidae,1.0,https://www.9news.com.au/national/divers-close-call-with-hamerhead-shark-captured-on-video/ad90be23-1fe3-485e-bde2-1bd2a4f7605e,unknown,unknown,unknown,unknown,
11,2020,minor_lacerations,-31.4295,152.9193,2020-11-01,unknown,unknown,coastal,New South Wales,injured,"town beach, port macquarie",unprovoked,male,boarding,wobbegong,Orectolobidae,1.0,,"hand, foot",unknown,unknown,unknown,13.0
12,2020,nan,-17.9319,122.2081,2020-12-01,bumped,bumped_off_his_board_and_bitten,coastal,Western Australia,injured,"cable beach, broome",unprovoked,male,boarding,bull shark,Carcharhinus leucas,1.0,,unknown,unknown,unknown,bumped off his board and bitten,
12,2020,nan,-35.9295,137.5966,2020-12-01,unknown,unknown,island_open_ocean,South Australia,injured,"d'estrees bay, kangaroo island",unprovoked,male,boarding,white shark,Carcharodon carcharias ,1.0,https://www.news.com.au/technology/science/animals/kangaroo-island-shark-attack-victim-releases-statement-from-hospital-bed/news-story/83562aa81535de1989a25d194f075396,unknown,unknown,unknown,unknown,29.0
